"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444
0.666666666666667,0,0.5,0.5,0.0714285714285714,0.157142857142857,0.1,0.5,0,0,0.666666666666667,0.165234633179114,0.333333333333333,0.333333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.628571428571429,1,0,0,1,1,1,0.542857142857143,1,1,0.623441396508728,1,0.5,0.5,0.750623441396509,0.750623441396509,0.750623441396509,0.750623441396509,0.750623441396509,0.750623441396509,0.750623441396509
1,1,0.371428571428571,0,1,1,1,0.914285714285714,1,1,0.942857142857143,1,0.748129675810474,0.748129675810474,1,1,1,1,1,1,1
0.666666666666667,0.13,0.5,0.5,0,0.13,0.13,0.5,0.03,0.03,0.666666666666667,0.18,0.333333333333333,0.333333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.666666666666667,0,0.5,0.5,0,0,0.1,0.5,0,0,0.666666666666667,0.165234633179114,0.333333333333333,0.333333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.666666666666667,0.0228571428571429,0.5,0.5,0.0942857142857143,0.18,0,0.5,0,0,0.666666666666667,0.165234633179114,0.333333333333333,0.333333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.333333333333333,1,0.166666666666667,0.166666666666667,1,1,1,0,1,1,0.5,1,0.5,0.5,0.251870324189526,0.251870324189526,0.251870324189526,0.251870324189526,0.251870324189526,0.251870324189526,0.251870324189526
0.666666666666667,0.5,1,1,0.5,0.5,0.5,1,0,0,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.555555555555556,0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
0.666666666666667,0.5,1,1,0.5,0.5,0.5,1,0,0,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.555555555555556,0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
0.0571428571428571,1,1,1,1,1,1,1,1,1,0,1,0,0,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.666666666666667,0.2,0.5,0.5,0.2,0.2,0.3,0.5,0.1,0.1,0.666666666666667,0,0.333333333333333,0.333333333333333,0.277777777777778,0.277777777777778,0.277777777777778,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889
0.571428571428571,1,1,1,1,1,1,1,1,1,0.555555555555556,1,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444
0.857142857142857,1,1,1,1,1,1,1,1,1,0.8,1,0.285714285714286,0,0.833333333333333,0.833333333333333,0.833333333333333,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444
0.666666666666667,1,1,1,1,1,1,1,1,1,0.666666666666667,1,0.5,0.5,0,0.0571428571428571,0.0285714285714286,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
0.669530733641771,1,1,1,1,1,1,1,1,1,0.834765366820886,1,0.669530733641771,0.669530733641771,0.355584930601454,0,0.0581625908790482,0.355584930601454,0.355584930601454,0.117647058823529,0.117647058823529
0.666666666666667,1,1,1,1,1,1,1,1,1,0.776602775941837,1,0.611368142762723,0.611368142762723,0.297422339722406,0.0285714285714286,0,0.297422339722406,0.297422339722406,0.111111111111111,0.111111111111111
1,1,1,1,1,1,1,1,1,1,1,1,0.7,0.7,0.5,0.5,0.5,0,0,0.2,0.2
1,1,1,1,1,1,1,1,1,1,1,1,0.7,0.7,0.5,0.5,0.5,0,0,0.2,0.2
1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,0.4,0.4,0.4,0.4,0.4,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,0.4,0.4,0.4,0.4,0.4,0,0
